    Gross domestic product,    Gross national product,    Personal income,    Disposable personal income,    Personal consumption expenditures,        Goods,            Durable goods,            Nondurable goods,        Services,    Gross domestic product,    Gross national product,    Disposable personal income,    Personal consumption expenditures,        Goods,            Durable goods,            Nondurable goods,        Services,"Population (midperiod, thousands)"
18064,18180,14639,13007,11299,4728,1567,3161,6572,31649,31894,23075,20044,6187,1348,5248,13898,238176
18404,18498,14799,13033,11578,4845,1660,3185,6733,32058,32265,22938,20377,6336,1431,5278,14054,238789
18602,18709,15032,13241,11658,4834,1603,3231,6825,32218,32445,23144,20378,6282,1378,5311,14140,239387
18829,18921,15252,13475,11818,4881,1633,3249,6937,32453,32655,23386,20510,6365,1403,5368,14165,239861
18951,19016,15396,13609,11911,4887,1694,3193,7024,32533,32685,23647,20696,6465,1450,5404,14228,240368
19172,19247,15565,13741,12158,5050,1850,3200,7109,32779,32947,23755,21019,6649,1570,5402,14322,240962
19332,19382,15703,13815,12280,5052,1826,3225,7229,32870,32992,23741,21103,6629,1541,5433,14451,241539
19570,19630,15913,14051,12389,5024,1729,3295,7365,33036,33170,23890,21065,6480,1447,5430,14635,242009
19881,19955,16127,14017,12654,5160,1811,3349,7494,33336,33494,23609,21312,6591,1503,5460,14754,242520
20157,20230,16382,14370,12889,5270,1894,3376,7619,33556,33709,23978,21506,6673,1561,5451,14854,243120
20608,20689,16734,14654,12997,5238,1846,3392,7758,34025,34191,24239,21498,6597,1515,5444,14961,243721
20845,20948,17009,14953,13304,5359,1926,3433,7945,34148,34348,24543,21837,6739,1584,5492,15138,244208
21281,21374,17276,15242,13522,5422,1934,3488,8100,34528,34711,24744,21951,6760,1581,5524,15240,244716
21599,21682,17603,15538,13769,5466,1917,3549,8303,34637,34801,24917,22081,6741,1556,5547,15418,245354
22006,22098,17909,15806,14031,5580,1977,3603,8452,35008,35186,25095,22278,6831,1593,5591,15512,245966
22427,22518,18391,16148,14226,5636,1974,3662,8590,35291,35464,25354,22336,6827,1582,5605,15585,246460
22786,22873,18572,16278,14450,5753,1997,3756,8697,35488,35654,25222,22391,6850,1600,5601,15614,247017
23059,23157,18745,16437,14637,5821,2041,3780,8816,35654,35835,25325,22551,6930,1632,5642,15680,247698
23205,23329,18988,16654,14777,5811,1980,3830,8966,35633,35851,25459,22589,6888,1578,5690,15786,248374
23664,23783,19335,16995,15082,5984,2070,3913,9098,35941,36148,25615,22731,6965,1641,5670,15836,248936
23926,24053,19578,17197,15218,5924,1996,3928,9294,35968,36184,25688,22732,6868,1581,5659,15980,249711
24061,24169,19756,17358,15417,5972,1970,4003,9444,35850,36034,25607,22743,6828,1560,5648,16053,250595
23951,24152,19774,17385,15446,5963,1912,4051,9483,35419,35735,25315,22491,6697,1512,5571,15958,251482
24003,24159,19757,17454,15422,5890,1870,4020,9531,35145,35390,25290,22345,6619,1465,5557,15905,252258
24277,24390,19928,17612,15584,5916,1878,4038,9668,35305,35485,25384,22461,6635,1468,5572,16015,253063
24485,24584,20057,17733,15709,5941,1907,4034,9769,35348,35506,25386,22490,6651,1485,5561,16024,253965
24641,24771,20300,17951,15763,5879,1874,4005,9884,35381,35583,25516,22407,6555,1456,5495,16069,254835
24965,25094,20698,18394,16111,6001,1941,4060,10109,35694,35893,25987,22761,6684,1509,5560,16286,255585
25317,25442,21015,18648,16274,6037,1954,4084,10237,35968,36162,26171,22840,6695,1514,5565,16360,256439
25590,25704,21173,18779,16494,6112,1990,4122,10382,36184,36361,26189,23003,6744,1541,5577,16475,257386
25932,26049,21385,18911,16750,6187,2025,4161,10564,36420,36603,26188,23196,6809,1566,5614,16601,258277
26051,26198,21455,19074,16864,6204,2038,4166,10661,36381,36603,26258,23216,6816,1577,5603,16614,259039
26285,26406,21655,19178,17079,6289,2109,4181,10789,36486,36672,26224,23353,6904,1623,5630,16644,259826
26482,26624,21736,19208,17283,6326,2135,4191,10958,36539,36754,26150,23531,6951,1635,5667,16778,260714
26889,26972,21965,19383,17481,6420,2194,4226,11061,36909,37041,26238,23663,7018,1669,5688,16835,261547
27212,27319,22104,19535,17696,6504,2245,4259,11192,37171,37338,26351,23871,7117,1705,5749,16929,262250
27640,27730,22447,19794,17880,6565,2276,4289,11315,37569,37712,26552,23985,7160,1718,5777,16999,263020
27863,27947,22624,19989,18089,6666,2309,4357,11423,37669,37802,26624,24093,7203,1730,5808,17060,263870
